speed_deg_s,image_lever_arm_px,exposure_ms,angular_sweep_deg,approx_blur_px,exposure_for_2px_ms,step_deg_at_30fps,step_deg_at_120fps
90.0,500.0,15.6,1.404,12.252211349000191,2.5464790894703255,3.0,0.75
90.0,500.0,8.0,0.72,6.283185307179586,2.5464790894703255,3.0,0.75
90.0,500.0,2.0,0.18,1.5707963267948966,2.5464790894703255,3.0,0.75
90.0,500.0,1.0,0.09,0.7853981633974483,2.5464790894703255,3.0,0.75
90.0,500.0,0.5,0.045,0.39269908169872414,2.5464790894703255,3.0,0.75
180.0,500.0,15.6,2.808,24.504422698000383,1.2732395447351628,6.0,1.5
180.0,500.0,8.0,1.44,12.566370614359172,1.2732395447351628,6.0,1.5
180.0,500.0,2.0,0.36,3.141592653589793,1.2732395447351628,6.0,1.5
180.0,500.0,1.0,0.18,1.5707963267948966,1.2732395447351628,6.0,1.5
180.0,500.0,0.5,0.09,0.7853981633974483,1.2732395447351628,6.0,1.5
360.0,500.0,15.6,5.616,49.008845396000766,0.6366197723675814,12.0,3.0
360.0,500.0,8.0,2.88,25.132741228718345,0.6366197723675814,12.0,3.0
360.0,500.0,2.0,0.72,6.283185307179586,0.6366197723675814,12.0,3.0
360.0,500.0,1.0,0.36,3.141592653589793,0.6366197723675814,12.0,3.0
360.0,500.0,0.5,0.18,1.5707963267948966,0.6366197723675814,12.0,3.0
720.0,500.0,15.6,11.232,98.01769079200153,0.3183098861837907,24.0,6.0
720.0,500.0,8.0,5.76,50.26548245743669,0.3183098861837907,24.0,6.0
720.0,500.0,2.0,1.44,12.566370614359172,0.3183098861837907,24.0,6.0
720.0,500.0,1.0,0.72,6.283185307179586,0.3183098861837907,24.0,6.0
720.0,500.0,0.5,0.36,3.141592653589793,0.3183098861837907,24.0,6.0
1080.0,500.0,15.6,16.848,147.02653618800232,0.2122065907891938,36.0,9.0
1080.0,500.0,8.0,8.64,75.39822368615503,0.2122065907891938,36.0,9.0
1080.0,500.0,2.0,2.16,18.84955592153876,0.2122065907891938,36.0,9.0
1080.0,500.0,1.0,1.08,9.42477796076938,0.2122065907891938,36.0,9.0
1080.0,500.0,0.5,0.54,4.71238898038469,0.2122065907891938,36.0,9.0
