camera,shell,source_frame,receive_time_s,interval_ms,surviving_track_edges,speed_median_px_s,speed_p95_px_s,blur_median_px,blur_p95_px
c920,red,1,0.032159977000000006,32.159977000000005,74,2.911806696046295,8.926005624587575,0.045424184458322206,0.13924568774356616
c920,green,1,0.032159977000000006,32.159977000000005,76,5.972772189716091,18.612197185611958,0.09317524615957101,0.29035027609554653
c920,red,2,0.067871244,35.711267,71,2.867941615747897,7.269723321105786,0.044739889205667197,0.11340768380925026
c920,green,2,0.067871244,35.711267,79,3.665118699479862,19.98241560665456,0.05717585171188585,0.31172568346381113
c920,red,3,0.099888221,32.016977000000004,76,3.226373446136698,8.532798084901044,0.050331425759732484,0.13311165012445628
c920,green,3,0.099888221,32.016977000000004,76,4.546964240135681,17.899097288982368,0.07093264214611662,0.27922591770812494
c920,red,4,0.13290290100000002,33.014680000000006,78,3.548233688873794,11.045825915590255,0.055352445546431185,0.17231488428320796
c920,green,4,0.13290290100000002,33.014680000000006,79,4.5500272773942125,19.65538984366339,0.0709804255273497,0.30662408156114884
c920,red,5,0.16788707600000002,34.98417500000001,76,3.13481456346692,7.815442689709054,0.04890310719008395,0.12192090595946124
c920,green,5,0.16788707600000002,34.98417500000001,78,3.3981438201960925,18.523857957907214,0.05301104359505904,0.2889721841433526
c920,red,6,0.199906609,32.01953299999999,78,3.0687727995523786,10.648041528068736,0.047872855673017106,0.16610944783787226
c920,green,6,0.199906609,32.01953299999999,79,4.275820123662137,15.594396357903685,0.06670279392912934,0.2432725831832975
c920,red,7,0.23215675300000002,32.250144000000006,77,2.9471941824241883,6.9485636725282625,0.04597622924581733,0.1083975932914409
c920,green,7,0.23215675300000002,32.250144000000006,79,4.42818614085418,20.937266303307617,0.06907970379732521,0.32662135433159883
c920,red,8,0.267912964,35.75621099999998,79,2.1167116171986153,7.341585865962756,0.0330207012282984,0.114528739509019
c920,green,8,0.267912964,35.75621099999998,79,4.903387757584247,15.722573607146042,0.07649284901831425,0.24527214827147825
c920,red,9,0.30010651499999996,32.193550999999985,78,3.3953586562742273,8.187055063681552,0.05296759503787794,0.1277180589934322
c920,green,9,0.30010651499999996,32.193550999999985,79,4.0281222868097855,18.37958530856399,0.06283870767423265,0.28672153081359825
c920,red,10,0.36801244499999997,67.90593,78,1.4552300820369468,3.6681570604992206,0.02270158927977637,0.05722325014378784
c920,green,10,0.36801244499999997,67.90593,79,2.507167059215847,7.1159868783678775,0.03911180612376721,0.1110093953025389
c920,red,11,0.399921885,31.90944000000001,78,3.076978019566872,7.299955902469594,0.04800085710524321,0.11387931207852565
c920,green,11,0.399921885,31.90944000000001,78,4.139948116121479,17.395628329887003,0.06458319061149506,0.2713718019462373
c920,red,12,0.431989974,32.06808900000002,80,2.4476116194586988,5.666295057693421,0.038182741263555704,0.08839420290001736
c920,green,12,0.431989974,32.06808900000002,78,3.886604718272129,14.712685944907005,0.06063103360504521,0.22951790074054926
c920,red,13,0.464044081,32.054107,78,3.6226557738272294,7.806191638556362,0.05651343007170477,0.12177658956147924
c920,green,13,0.464044081,32.054107,79,6.425229916663277,23.91859237020595,0.10023358669994711,0.37313004097521285
c920,red,14,0.49991930999999995,35.875228999999955,78,2.9884703168505715,6.370405361968826,0.046620136942868914,0.09937832364671369
