camera,source_frame,receive_time_s,region,mask_pixels,laplacian_variance,mean_gradient_energy,intensity_std
c920,541,18.713043575,green,29119,461.46331787109375,4152.32177734375,30.53498077392578
c920,542,18.748817398,ball_roi,551145,299.99627685546875,1534.080810546875,63.58653259277344
c920,542,18.748817398,red,35452,656.2337646484375,4948.81884765625,39.28937911987305
c920,542,18.748817398,green,27378,478.0615234375,4246.01171875,28.8585262298584
c920,543,18.780833023,ball_roi,551145,336.1532287597656,1571.9239501953125,63.839073181152344
c920,543,18.780833023,red,34765,756.0847778320312,5278.88916015625,39.378387451171875
c920,543,18.780833023,green,27365,360.91375732421875,3415.805908203125,26.933181762695312
c920,544,18.816806808,ball_roi,551145,360.677490234375,1596.7034912109375,64.1167984008789
c920,544,18.816806808,red,32443,549.8355712890625,4659.44580078125,37.83982849121094
c920,544,18.816806808,green,25892,419.2024841308594,3736.28125,27.71982765197754
c920,545,18.848814619,ball_roi,551145,296.3111267089844,1540.7025146484375,64.16068267822266
c920,545,18.848814619,red,31987,541.4629516601562,4423.31591796875,36.128849029541016
c920,545,18.848814619,green,26414,673.5874633789062,4931.017578125,29.62228775024414
c920,546,18.880859689,ball_roi,551145,226.12835693359375,1285.2724609375,64.17544555664062
c920,546,18.880859689,red,32017,535.7396850585938,4687.56494140625,36.30596923828125
c920,546,18.880859689,green,24517,500.1388854980469,3779.62841796875,27.843852996826172
c920,547,18.916873825,ball_roi,551145,140.69581604003906,1092.8475341796875,64.4913101196289
c920,547,18.916873825,red,34392,272.73016357421875,3483.490478515625,34.11930847167969
c920,547,18.916873825,green,27610,532.1865844726562,4368.11279296875,28.35484504699707
c920,548,18.948847599,ball_roi,551145,134.0460662841797,1050.7215576171875,64.82323455810547
c920,548,18.948847599,red,27186,317.8559875488281,3687.747802734375,33.946311950683594
c920,548,18.948847599,green,25901,349.7298583984375,3455.74462890625,27.188682556152344
c920,549,18.981535927,ball_roi,551145,103.61681365966797,1018.793701171875,65.1182861328125
c920,549,18.981535927,red,30978,330.193115234375,4061.645751953125,34.51839065551758
c920,549,18.981535927,green,27880,225.35719299316406,3254.97705078125,28.609983444213867
c920,550,19.01688025,ball_roi,551145,140.8482666015625,1102.62451171875,65.04380798339844
c920,550,19.01688025,red,27592,370.3022155761719,3488.302001953125,31.899646759033203
c920,550,19.01688025,green,29876,384.1646728515625,3978.21826171875,29.45758819580078
c920,551,19.048824117,ball_roi,551145,135.89109802246094,1078.8631591796875,64.85604095458984
c920,551,19.048824117,red,26328,275.31597900390625,2504.5830078125,27.673505783081055
c920,551,19.048824117,green,29987,442.9792785644531,4270.68505859375,30.043882369995117
c920,552,19.080876909,ball_roi,551145,112.83214569091797,980.5130615234375,64.7637939453125
c920,552,19.080876909,red,26110,257.4276123046875,2354.453857421875,26.34479331970215
c920,552,19.080876909,green,29519,362.9388427734375,3840.594970703125,29.063587188720703
c920,553,19.112934905,ball_roi,551145,107.36964416503906,947.1627807617188,64.59166717529297
c920,553,19.112934905,red,28390,188.8799591064453,1823.0960693359375,24.667306900024414
c920,553,19.112934905,green,29172,276.71929931640625,3549.696533203125,28.449018478393555
c920,554,19.148828505,ball_roi,551145,77.88372039794922,825.4444580078125,64.2484130859375
c920,554,19.148828505,red,27406,173.13412475585938,1842.4205322265625,24.253215789794922
c920,554,19.148828505,green,27867,193.30422973632812,2999.647216796875,27.044137954711914
c920,555,19.180825742,ball_roi,551145,85.55056762695312,826.677001953125,63.967201232910156
c920,555,19.180825742,red,23183,256.57421875,2213.828125,23.75812339782715
c920,555,19.180825742,green,27711,198.19168090820312,2917.36328125,27.33837890625
c920,556,19.212887145,ball_roi,551145,59.09300994873047,740.0225219726562,63.96434020996094
c920,556,19.212887145,red,22421,185.3170623779297,2169.458740234375,24.852954864501953
c920,556,19.212887145,green,27677,179.26490783691406,2779.671875,27.11747932434082
c920,557,19.245202177,ball_roi,551145,70.6307144165039,751.0813598632812,63.45998001098633
c920,557,19.245202177,red,16612,305.4610290527344,2563.333984375,25.200206756591797
c920,557,19.245202177,green,27411,205.2856903076172,2911.274169921875,27.057132720947266
c920,558,19.281387832,ball_roi,551145,99.74009704589844,938.8721923828125,63.73786544799805
c920,558,19.281387832,red,15760,250.99696350097656,2247.873046875,22.70996856689453
c920,558,19.281387832,green,29297,298.8825378417969,3761.247314453125,29.08441734313965
c920,559,19.312925681,ball_roi,551145,100.79712677001953,906.0925903320312,63.75537872314453
c920,559,19.312925681,red,17401,201.901123046875,2048.4248046875,23.20561408996582
c920,559,19.312925681,green,27719,230.70065307617188,3054.258056640625,27.503326416015625
c920,560,19.348841725,ball_roi,551145,116.19120788574219,876.3141479492188,63.88059616088867
c920,560,19.348841725,red,22874,307.50335693359375,2071.139404296875,24.597354888916016
c920,560,19.348841725,green,25926,241.76748657226562,2985.679443359375,26.956932067871094
c920,561,19.380855888,ball_roi,551145,184.3654327392578,1254.5755615234375,64.34459686279297
c920,561,19.380855888,red,23468,368.2783508300781,2081.790771484375,22.163225173950195
c920,561,19.380855888,green,30166,568.9446411132812,4891.482421875,31.245363235473633
c920,562,19.41293118,ball_roi,551145,123.01686096191406,990.1307373046875,64.33673858642578
c920,562,19.41293118,red,18121,285.9042663574219,2154.39501953125,24.8482666015625
c920,562,19.41293118,green,28408,378.7677307128906,3785.412353515625,29.0828914642334
c920,563,19.444949843,ball_roi,551145,108.57109069824219,949.332275390625,63.97710037231445
c920,563,19.444949843,red,12953,394.6745910644531,2832.3115234375,23.30478858947754
c920,563,19.444949843,green,28183,333.2931213378906,3666.416259765625,29.10000991821289
c920,564,19.480877905,ball_roi,551145,216.29611206054688,1206.751708984375,64.02677154541016
c920,564,19.480877905,red,16191,609.9163818359375,3102.441162109375,23.177326202392578
c920,564,19.480877905,green,27810,568.7186889648438,4236.6611328125,29.025121688842773
c920,565,19.513166216,ball_roi,551145,115.06808471679688,945.15576171875,63.99425506591797
c920,565,19.513166216,red,21225,212.59083557128906,1272.7020263671875,19.58921241760254
c920,565,19.513166216,green,28273,306.677001953125,3430.02734375,28.447492599487305
c920,607,21.008951431,ball_roi,551145,157.80462646484375,1177.951171875,65.82170104980469
c920,607,21.008951431,red,23948,322.60418701171875,2172.478271484375,22.758752822875977
c920,607,21.008951431,green,23051,300.26007080078125,3691.986328125,24.374385833740234
c920,608,21.076957564,ball_roi,551145,254.3852996826172,1353.975341796875,66.09168243408203
c920,608,21.076957564,red,22320,385.222412109375,2935.068359375,29.37166976928711
c920,608,21.076957564,green,20671,577.5167846679688,3705.30078125,27.66103744506836
c920,609,21.108935115999998,ball_roi,551145,66.79009246826172,790.09521484375,65.33450317382812
c920,609,21.108935115999998,red,24502,106.06571197509766,2784.129638671875,32.963592529296875
c920,609,21.108935115999998,green,18986,110.5007095336914,1817.2733154296875,24.62729835510254
c920,610,21.140934723,ball_roi,551145,47.078887939453125,642.6421508789062,64.54473114013672
c920,610,21.140934723,red,23559,125.28124237060547,2089.143798828125,28.85468101501465
c920,610,21.140934723,green,16310,84.70860290527344,1586.3641357421875,22.39813995361328
c920,611,21.173007125999998,ball_roi,551145,60.38389205932617,637.3488159179688,65.22782897949219
c920,611,21.173007125999998,red,19321,89.71791076660156,2169.579833984375,30.688636779785156
c920,611,21.173007125999998,green,15268,68.51331329345703,1350.155517578125,20.478544235229492
c920,612,21.208944022,ball_roi,551145,39.42271041870117,538.2113647460938,64.4550552368164
c920,612,21.208944022,red,19450,63.67399597167969,987.624755859375,18.579330444335938
c920,612,21.208944022,green,15786,82.82635498046875,1547.4295654296875,21.972688674926758
c920,613,21.240943407,ball_roi,551145,44.79861831665039,502.0207824707031,64.93572235107422
c920,613,21.240943407,red,20009,34.10911178588867,558.2659912109375,18.964853286743164
c920,613,21.240943407,green,10581,71.52031707763672,1955.4212646484375,24.506071090698242
c920,614,21.273053329,ball_roi,551145,44.0585823059082,587.467529296875,64.90718078613281
c920,614,21.273053329,red,28921,41.8338623046875,715.3154907226562,24.283706665039062
c920,614,21.273053329,green,14882,116.74324035644531,1975.6220703125,23.096649169921875
c920,615,21.308946428,ball_roi,551145,66.65164184570312,697.8656005859375,65.33538055419922
c920,615,21.308946428,red,33686,53.82146072387695,1168.001953125,30.035057067871094
c920,615,21.308946428,green,17275,120.19071197509766,2303.446044921875,24.71230125427246
c920,616,21.340945832,ball_roi,551145,81.93285369873047,836.3090209960938,65.6383285522461
c920,616,21.340945832,red,34728,101.61039733886719,2253.1943359375,35.23622131347656
c920,616,21.340945832,green,17595,166.75961303710938,2661.336669921875,25.07124137878418
c920,617,21.373043030999998,ball_roi,551145,53.21314239501953,619.8139038085938,65.25130462646484
c920,617,21.373043030999998,red,29768,74.35713195800781,2117.761962890625,35.926048278808594
c920,617,21.373043030999998,green,14060,81.75517272949219,1987.80322265625,23.855491638183594
c920,618,21.408955204999998,ball_roi,551145,77.16088104248047,787.7719116210938,65.4193115234375
c920,618,21.408955204999998,red,34047,78.61573028564453,2156.225830078125,36.880706787109375
c920,618,21.408955204999998,green,17551,86.94856262207031,2000.469482421875,24.455543518066406
brio101,15,0.5106823460000001,ball_roi,733027,190.78671264648438,741.3298950195312,42.759029388427734
brio101,15,0.5106823460000001,red,63064,541.3004760742188,2358.793701171875,26.005298614501953
brio101,15,0.5106823460000001,green,25302,493.3948974609375,2492.247802734375,21.855266571044922
brio101,23,0.77869855,ball_roi,733027,192.53280639648438,744.8045654296875,42.76838302612305
brio101,23,0.77869855,red,62930,549.6735229492188,2352.073974609375,26.0098876953125
brio101,23,0.77869855,green,26583,476.8235778808594,2429.534912109375,22.392738342285156
brio101,30,1.0147363889999998,ball_roi,733027,190.6075439453125,739.8169555664062,42.763362884521484
brio101,30,1.0147363889999998,red,63003,545.0218505859375,2366.350830078125,26.045665740966797
brio101,30,1.0147363889999998,green,25013,465.58941650390625,2454.45947265625,21.63585662841797
brio101,31,1.046704866,ball_roi,733027,190.1671905517578,742.1196899414062,42.763916015625
brio101,31,1.046704866,red,62633,523.1076049804688,2325.74951171875,25.870481491088867
brio101,31,1.046704866,green,25521,487.614501953125,2567.8642578125,22.102859497070312
brio101,39,1.314735682,ball_roi,733027,189.24676513671875,741.725341796875,42.75835037231445
brio101,39,1.314735682,red,63017,528.8595581054688,2358.125244140625,26.06321907043457
brio101,39,1.314735682,green,25954,455.3790283203125,2422.380859375,22.235363006591797
brio101,47,1.584210199,ball_roi,733027,189.98370361328125,740.9925537109375,42.77200698852539
brio101,47,1.584210199,red,63555,563.3309326171875,2464.93505859375,26.49013900756836
brio101,47,1.584210199,green,25126,496.94036865234375,2556.742919921875,21.936105728149414
brio101,55,1.846805396,ball_roi,733027,189.8863983154297,739.4647216796875,42.7833366394043
brio101,55,1.846805396,red,63174,531.7191162109375,2375.789794921875,26.118865966796875
brio101,55,1.846805396,green,25228,487.1958923339844,2482.27783203125,21.891328811645508
brio101,63,2.114968267,ball_roi,733027,190.612548828125,742.8764038085938,42.79539489746094
brio101,63,2.114968267,red,63145,556.8441772460938,2420.13916015625,26.245264053344727
brio101,63,2.114968267,green,25567,478.1529846191406,2455.762939453125,22.086868286132812
brio101,71,2.384467284,ball_roi,733027,194.22402954101562,747.5761108398438,42.80141830444336
brio101,71,2.384467284,red,62956,551.1181640625,2377.008056640625,26.000324249267578
brio101,71,2.384467284,green,25446,465.0550537109375,2434.296630859375,21.745323181152344
brio101,329,11.003619943999999,ball_roi,733027,182.50650024414062,722.0177612304688,43.787986755371094
brio101,329,11.003619943999999,red,133836,355.06292724609375,1660.7608642578125,31.24724578857422
brio101,329,11.003619943999999,green,7878,424.3412780761719,2396.70068359375,35.06124496459961
brio101,330,11.039250488999999,ball_roi,733027,181.61849975585938,711.6871948242188,43.92363357543945
brio101,330,11.039250488999999,red,132321,345.67926025390625,1605.0103759765625,30.77834701538086
brio101,330,11.039250488999999,green,7696,393.79010009765625,2268.710693359375,34.753173828125
brio101,331,11.071215485,ball_roi,733027,161.92385864257812,650.874267578125,43.83982849121094
brio101,331,11.071215485,red,130619,291.552734375,1386.8447265625,29.753713607788086
brio101,331,11.071215485,green,5499,443.176025390625,2502.61181640625,31.677759170532227
brio101,332,11.104267849,ball_roi,733027,156.967041015625,623.0516967773438,43.64649963378906
brio101,332,11.104267849,red,131210,265.17169189453125,1268.720947265625,29.566747665405273
brio101,332,11.104267849,green,5299,570.3411254882812,2671.26806640625,33.93513870239258
brio101,333,11.140863966,ball_roi,733027,158.08775329589844,618.0001831054688,43.49087905883789
brio101,333,11.140863966,red,132526,283.6963195800781,1364.308349609375,30.318330764770508
brio101,333,11.140863966,green,4149,278.39398193359375,1726.6300048828125,33.15810012817383
brio101,334,11.171192169,ball_roi,733027,162.56590270996094,632.28515625,43.2451286315918
brio101,334,11.171192169,red,132780,289.9479675292969,1362.2576904296875,30.64018440246582
brio101,334,11.171192169,green,3750,401.49273681640625,1938.274658203125,29.91288185119629
brio101,335,11.204473163,ball_roi,733027,161.50433349609375,638.6985473632812,42.8324089050293
brio101,335,11.204473163,red,134885,292.8466796875,1410.07666015625,30.462766647338867
brio101,335,11.204473163,green,3499,270.3484191894531,1382.6104736328125,34.01477813720703
brio101,336,11.240270503,ball_roi,733027,160.67935180664062,627.786376953125,42.725345611572266
brio101,336,11.240270503,red,136435,290.2187805175781,1403.056396484375,30.732175827026367
brio101,336,11.240270503,green,3173,409.071533203125,1814.1083984375,31.979305267333984
brio101,337,11.271995148,ball_roi,733027,158.720947265625,604.909912109375,42.56360626220703
brio101,337,11.271995148,red,133493,286.48358154296875,1381.9068603515625,30.44573402404785
brio101,337,11.271995148,green,2952,263.8615417480469,1510.0792236328125,23.611284255981445
brio101,338,11.303257534,ball_roi,733027,154.42332458496094,612.6378784179688,42.30828094482422
brio101,338,11.303257534,red,130659,281.1138916015625,1390.72412109375,29.87511444091797
brio101,338,11.303257534,green,2827,652.4428100585938,3447.8974609375,34.08884811401367
brio101,339,11.339235133999999,ball_roi,733027,157.71847534179688,609.7437744140625,41.982872009277344
brio101,339,11.339235133999999,red,128810,304.86761474609375,1434.8724365234375,29.784006118774414
brio101,339,11.339235133999999,green,3302,474.74041748046875,2450.052734375,34.99182891845703
brio101,340,11.371257963,ball_roi,733027,158.6004638671875,619.0517578125,41.805973052978516
brio101,340,11.371257963,red,128063,320.4683837890625,1510.2119140625,29.80475425720215
brio101,340,11.371257963,green,3474,433.9463806152344,2091.2607421875,30.601224899291992
brio101,341,11.403656477,ball_roi,733027,156.95379638671875,621.4881591796875,41.46049880981445
brio101,341,11.403656477,red,127150,310.93682861328125,1539.2139892578125,29.560930252075195
brio101,341,11.403656477,green,1461,319.4385681152344,3355.063720703125,33.771114349365234
brio101,342,11.4392283,ball_roi,733027,156.86256408691406,617.6289672851562,41.2164192199707
brio101,342,11.4392283,red,125419,300.9256896972656,1464.63818359375,28.840410232543945
brio101,342,11.4392283,green,4750,453.50421142578125,2383.47119140625,26.96333885192871
brio101,343,11.471217554999999,ball_roi,733027,156.06175231933594,619.1018676757812,41.137229919433594
brio101,343,11.471217554999999,red,123934,306.1650085449219,1499.7730712890625,28.231647491455078
brio101,343,11.471217554999999,green,4949,371.4512939453125,2295.19384765625,24.567867279052734
brio101,344,11.503264366,ball_roi,733027,158.59091186523438,633.0884399414062,41.018192291259766
brio101,344,11.503264366,red,119652,317.27886962890625,1561.7418212890625,27.736940383911133
brio101,344,11.503264366,green,5122,301.7479553222656,1743.0894775390625,25.10359764099121
brio101,345,11.539294984,ball_roi,733027,155.84010314941406,618.8375854492188,41.054359436035156
brio101,345,11.539294984,red,113759,310.80230712890625,1526.47265625,27.762786865234375
brio101,345,11.539294984,green,6248,382.5022277832031,2107.85595703125,24.326576232910156
brio101,346,11.571242628,ball_roi,733027,159.24700927734375,630.3988037109375,41.017982482910156
brio101,346,11.571242628,red,111256,345.3015441894531,1649.7139892578125,28.113969802856445
brio101,346,11.571242628,green,5239,332.00439453125,2389.05810546875,26.05584144592285
